idbacia;nomebacia;area_ha;Malha_km;Calha_km;Decliv_m_km;Dd_km_km2;Kc;Kf;HI;Classificacao_Hipsometrica;Area_Plano_ha;Area_SuaveOndulado_ha;Area_Ondulado_ha;Area_ForteOndulado_ha;Ano;Classe_Uso;Percentual
5.0;Piria;179142.0;6217.0;308.0;0.47;1.152;2.615;0.06119;0.276;Senectude;126014.0;42380.0;8531.0;124.929;2006;Pct_Agro;35.44
6.0;Urumajo;177831.0;422.0;63.0;1.182;0.151;2.087;0.10536;0.272;Senectude;137046.0;23288.0;1838.0;4.739;2006;Pct_Agro;13.61
10.0;Taperacu;72519.0;124.0;29.0;0.97;0.236;2.151;0.14417;0.163;Senectude;59254.0;3212.0;321.0;0.0;2006;Pct_Agro;12.2
11.0;Quatipuru;95041.0;1147.0;65.0;0.785;1.207;1.845;0.22366;0.321;Senectude;73531.0;16950.0;1648.0;0.715;2006;Pct_Agro;35.17
17.0;Marapanim;204434.0;1785.0;125.0;0.378;0.872;1.948;0.13026;0.429;Maturidade;170450.0;27065.0;1668.0;0.895;2006;Pct_Agro;36.7
34.0;Maracana;298068.0;3221.0;138.0;0.334;1.08;1.944;0.15761;0.427;Maturidade;226999.0;59727.0;4003.0;1.072;2006;Pct_Agro;44.08
58.0;Caete;219874.0;2514.0;142.0;0.487;1.143;2.393;0.10929;0.436;Maturidade;161485.0;47077.0;6622.0;14.311;2006;Pct_Agro;36.95
4685.0;Caripi;84151.0;868.0;70.0;0.804;1.03;2.473;0.17297;0.364;Maturidade;63241.0;14229.0;669.0;0.268;2006;Pct_Agro;19.59
589798.0;Apeu;91609.0;1054.0;46.0;1.073;1.149;1.963;0.43616;0.438;Maturidade;72807.0;15529.0;1381.0;0.538;2006;Pct_Agro;42.96
589909.0;Guama;213705.0;15163.0;515.0;0.23;1.032;2.824;0.05549;0.268;Senectude;129766.0;63916.0;16204.0;202.347;2006;Pct_Agro;43.83
1.0;Morcego;113353.0;202.0;22.0;1.791;0.175;1.936;0.26308;0.252;Senectude;83203.0;17220.0;1102.0;0.0;2012;Pct_Agro;10.16
5.0;Piria;179142.0;6217.0;308.0;0.47;1.152;2.615;0.06119;0.276;Senectude;126014.0;42380.0;8531.0;124.929;2012;Pct_Agro;40.08
6.0;Urumajo;177831.0;422.0;63.0;1.182;0.151;2.087;0.10536;0.272;Senectude;137046.0;23288.0;1838.0;4.739;2012;Pct_Agro;16.47
10.0;Taperacu;72519.0;124.0;29.0;0.97;0.236;2.151;0.14417;0.163;Senectude;59254.0;3212.0;321.0;0.0;2012;Pct_Agro;14.04
11.0;Quatipuru;95041.0;1147.0;65.0;0.785;1.207;1.845;0.22366;0.321;Senectude;73531.0;16950.0;1648.0;0.715;2012;Pct_Agro;39.91
17.0;Marapanim;204434.0;1785.0;125.0;0.378;0.872;1.948;0.13026;0.429;Maturidade;170450.0;27065.0;1668.0;0.895;2012;Pct_Agro;39.74
34.0;Maracana;298068.0;3221.0;138.0;0.334;1.08;1.944;0.15761;0.427;Maturidade;226999.0;59727.0;4003.0;1.072;2012;Pct_Agro;47.61
58.0;Caete;219874.0;2514.0;142.0;0.487;1.143;2.393;0.10929;0.436;Maturidade;161485.0;47077.0;6622.0;14.311;2012;Pct_Agro;42.41
4685.0;Caripi;84151.0;868.0;70.0;0.804;1.03;2.473;0.17297;0.364;Maturidade;63241.0;14229.0;669.0;0.268;2012;Pct_Agro;21.24
589798.0;Apeu;91609.0;1054.0;46.0;1.073;1.149;1.963;0.43616;0.438;Maturidade;72807.0;15529.0;1381.0;0.538;2012;Pct_Agro;45.06
589909.0;Guama;213705.0;15163.0;515.0;0.23;1.032;2.824;0.05549;0.268;Senectude;129766.0;63916.0;16204.0;202.347;2012;Pct_Agro;49.51
1.0;Morcego;113353.0;202.0;22.0;1.791;0.175;1.936;0.26308;0.252;Senectude;83203.0;17220.0;1102.0;0.0;2018;Pct_Agro;13.35
5.0;Piria;179142.0;6217.0;308.0;0.47;1.152;2.615;0.06119;0.276;Senectude;126014.0;42380.0;8531.0;124.929;2018;Pct_Agro;42.33
6.0;Urumajo;177831.0;422.0;63.0;1.182;0.151;2.087;0.10536;0.272;Senectude;137046.0;23288.0;1838.0;4.739;2018;Pct_Agro;18.38
10.0;Taperacu;72519.0;124.0;29.0;0.97;0.236;2.151;0.14417;0.163;Senectude;59254.0;3212.0;321.0;0.0;2018;Pct_Agro;13.95
11.0;Quatipuru;95041.0;1147.0;65.0;0.785;1.207;1.845;0.22366;0.321;Senectude;73531.0;16950.0;1648.0;0.715;2018;Pct_Agro;43.05
17.0;Marapanim;204434.0;1785.0;125.0;0.378;0.872;1.948;0.13026;0.429;Maturidade;170450.0;27065.0;1668.0;0.895;2018;Pct_Agro;44.76
34.0;Maracana;298068.0;3221.0;138.0;0.334;1.08;1.944;0.15761;0.427;Maturidade;226999.0;59727.0;4003.0;1.072;2018;Pct_Agro;52.44
58.0;Caete;219874.0;2514.0;142.0;0.487;1.143;2.393;0.10929;0.436;Maturidade;161485.0;47077.0;6622.0;14.311;2018;Pct_Agro;46.23
4685.0;Caripi;84151.0;868.0;70.0;0.804;1.03;2.473;0.17297;0.364;Maturidade;63241.0;14229.0;669.0;0.268;2018;Pct_Agro;26.74
589798.0;Apeu;91609.0;1054.0;46.0;1.073;1.149;1.963;0.43616;0.438;Maturidade;72807.0;15529.0;1381.0;0.538;2018;Pct_Agro;48.92
589909.0;Guama;213705.0;15163.0;515.0;0.23;1.032;2.824;0.05549;0.268;Senectude;129766.0;63916.0;16204.0;202.347;2018;Pct_Agro;54.29
1.0;Morcego;113353.0;202.0;22.0;1.791;0.175;1.936;0.26308;0.252;Senectude;83203.0;17220.0;1102.0;0.0;2024;Pct_Agro;13.02
5.0;Piria;179142.0;6217.0;308.0;0.47;1.152;2.615;0.06119;0.276;Senectude;126014.0;42380.0;8531.0;124.929;2024;Pct_Agro;44.36
6.0;Urumajo;177831.0;422.0;63.0;1.182;0.151;2.087;0.10536;0.272;Senectude;137046.0;23288.0;1838.0;4.739;2024;Pct_Agro;20.84
10.0;Taperacu;72519.0;124.0;29.0;0.97;0.236;2.151;0.14417;0.163;Senectude;59254.0;3212.0;321.0;0.0;2024;Pct_Agro;22.93
11.0;Quatipuru;95041.0;1147.0;65.0;0.785;1.207;1.845;0.22366;0.321;Senectude;73531.0;16950.0;1648.0;0.715;2024;Pct_Agro;49.19
17.0;Marapanim;204434.0;1785.0;125.0;0.378;0.872;1.948;0.13026;0.429;Maturidade;170450.0;27065.0;1668.0;0.895;2024;Pct_Agro;46.67
34.0;Maracana;298068.0;3221.0;138.0;0.334;1.08;1.944;0.15761;0.427;Maturidade;226999.0;59727.0;4003.0;1.072;2024;Pct_Agro;54.03
58.0;Caete;219874.0;2514.0;142.0;0.487;1.143;2.393;0.10929;0.436;Maturidade;161485.0;47077.0;6622.0;14.311;2024;Pct_Agro;48.41
4685.0;Caripi;84151.0;868.0;70.0;0.804;1.03;2.473;0.17297;0.364;Maturidade;63241.0;14229.0;669.0;0.268;2024;Pct_Agro;29.32
589798.0;Apeu;91609.0;1054.0;46.0;1.073;1.149;1.963;0.43616;0.438;Maturidade;72807.0;15529.0;1381.0;0.538;2024;Pct_Agro;50.7
589909.0;Guama;213705.0;15163.0;515.0;0.23;1.032;2.824;0.05549;0.268;Senectude;129766.0;63916.0;16204.0;202.347;2024;Pct_Agro;55.81
1.0;Morcego;113353.0;202.0;22.0;1.791;0.175;1.936;0.26308;0.252;Senectude;83203.0;17220.0;1102.0;0.0;2000;Outros;13.44
5.0;Piria;179142.0;6217.0;308.0;0.47;1.152;2.615;0.06119;0.276;Senectude;126014.0;42380.0;8531.0;124.929;2000;Outros;1.73
6.0;Urumajo;177831.0;422.0;63.0;1.182;0.151;2.087;0.10536;0.272;Senectude;137046.0;23288.0;1838.0;4.739;2000;Outros;6.45
10.0;Taperacu;72519.0;124.0;29.0;0.97;0.236;2.151;0.14417;0.163;Senectude;59254.0;3212.0;321.0;0.0;2000;Outros;20.46
11.0;Quatipuru;95041.0;1147.0;65.0;0.785;1.207;1.845;0.22366;0.321;Senectude;73531.0;16950.0;1648.0;0.715;2000;Outros;8.34
17.0;Marapanim;204434.0;1785.0;125.0;0.378;0.872;1.948;0.13026;0.429;Maturidade;170450.0;27065.0;1668.0;0.895;2000;Outros;3.04
34.0;Maracana;298068.0;3221.0;138.0;0.334;1.08;1.944;0.15761;0.427;Maturidade;226999.0;59727.0;4003.0;1.072;2000;Outros;2.78
58.0;Caete;219874.0;2514.0;142.0;0.487;1.143;2.393;0.10929;0.436;Maturidade;161485.0;47077.0;6622.0;14.311;2000;Outros;1.6
4685.0;Caripi;84151.0;868.0;70.0;0.804;1.03;2.473;0.17297;0.364;Maturidade;63241.0;14229.0;669.0;0.268;2000;Outros;7.74
589798.0;Apeu;91609.0;1054.0;46.0;1.073;1.149;1.963;0.43616;0.438;Maturidade;72807.0;15529.0;1381.0;0.538;2000;Outros;3.64
589909.0;Guama;213705.0;15163.0;515.0;0.23;1.032;2.824;0.05549;0.268;Senectude;129766.0;63916.0;16204.0;202.347;2000;Outros;1.2
1.0;Morcego;113353.0;202.0;22.0;1.791;0.175;1.936;0.26308;0.252;Senectude;83203.0;17220.0;1102.0;0.0;2006;Outros;13.61
5.0;Piria;179142.0;6217.0;308.0;0.47;1.152;2.615;0.06119;0.276;Senectude;126014.0;42380.0;8531.0;124.929;2006;Outros;1.83
6.0;Urumajo;177831.0;422.0;63.0;1.182;0.151;2.087;0.10536;0.272;Senectude;137046.0;23288.0;1838.0;4.739;2006;Outros;6.57
10.0;Taperacu;72519.0;124.0;29.0;0.97;0.236;2.151;0.14417;0.163;Senectude;59254.0;3212.0;321.0;0.0;2006;Outros;19.59
11.0;Quatipuru;95041.0;1147.0;65.0;0.785;1.207;1.845;0.22366;0.321;Senectude;73531.0;16950.0;1648.0;0.715;2006;Outros;7.47
17.0;Marapanim;204434.0;1785.0;125.0;0.378;0.872;1.948;0.13026;0.429;Maturidade;170450.0;27065.0;1668.0;0.895;2006;Outros;3.15
34.0;Maracana;298068.0;3221.0;138.0;0.334;1.08;1.944;0.15761;0.427;Maturidade;226999.0;59727.0;4003.0;1.072;2006;Outros;2.85
58.0;Caete;219874.0;2514.0;142.0;0.487;1.143;2.393;0.10929;0.436;Maturidade;161485.0;47077.0;6622.0;14.311;2006;Outros;1.84
4685.0;Caripi;84151.0;868.0;70.0;0.804;1.03;2.473;0.17297;0.364;Maturidade;63241.0;14229.0;669.0;0.268;2006;Outros;7.82
589798.0;Apeu;91609.0;1054.0;46.0;1.073;1.149;1.963;0.43616;0.438;Maturidade;72807.0;15529.0;1381.0;0.538;2006;Outros;3.85
589909.0;Guama;213705.0;15163.0;515.0;0.23;1.032;2.824;0.05549;0.268;Senectude;129766.0;63916.0;16204.0;202.347;2006;Outros;1.3
1.0;Morcego;113353.0;202.0;22.0;1.791;0.175;1.936;0.26308;0.252;Senectude;83203.0;17220.0;1102.0;0.0;2012;Outros;13.08
5.0;Piria;179142.0;6217.0;308.0;0.47;1.152;2.615;0.06119;0.276;Senectude;126014.0;42380.0;8531.0;124.929;2012;Outros;1.71
6.0;Urumajo;177831.0;422.0;63.0;1.182;0.151;2.087;0.10536;0.272;Senectude;137046.0;23288.0;1838.0;4.739;2012;Outros;6.29
10.0;Taperacu;72519.0;124.0;29.0;0.97;0.236;2.151;0.14417;0.163;Senectude;59254.0;3212.0;321.0;0.0;2012;Outros;18.85
11.0;Quatipuru;95041.0;1147.0;65.0;0.785;1.207;1.845;0.22366;0.321;Senectude;73531.0;16950.0;1648.0;0.715;2012;Outros;7.0
17.0;Marapanim;204434.0;1785.0;125.0;0.378;0.872;1.948;0.13026;0.429;Maturidade;170450.0;27065.0;1668.0;0.895;2012;Outros;2.91
34.0;Maracana;298068.0;3221.0;138.0;0.334;1.08;1.944;0.15761;0.427;Maturidade;226999.0;59727.0;4003.0;1.072;2012;Outros;2.68
58.0;Caete;219874.0;2514.0;142.0;0.487;1.143;2.393;0.10929;0.436;Maturidade;161485.0;47077.0;6622.0;14.311;2012;Outros;1.8
4685.0;Caripi;84151.0;868.0;70.0;0.804;1.03;2.473;0.17297;0.364;Maturidade;63241.0;14229.0;669.0;0.268;2012;Outros;7.61
589798.0;Apeu;91609.0;1054.0;46.0;1.073;1.149;1.963;0.43616;0.438;Maturidade;72807.0;15529.0;1381.0;0.538;2012;Outros;3.86
589909.0;Guama;213705.0;15163.0;515.0;0.23;1.032;2.824;0.05549;0.268;Senectude;129766.0;63916.0;16204.0;202.347;2012;Outros;1.34
1.0;Morcego;113353.0;202.0;22.0;1.791;0.175;1.936;0.26308;0.252;Senectude;83203.0;17220.0;1102.0;0.0;2018;Outros;12.89
5.0;Piria;179142.0;6217.0;308.0;0.47;1.152;2.615;0.06119;0.276;Senectude;126014.0;42380.0;8531.0;124.929;2018;Outros;1.66
6.0;Urumajo;177831.0;422.0;63.0;1.182;0.151;2.087;0.10536;0.272;Senectude;137046.0;23288.0;1838.0;4.739;2018;Outros;6.26
10.0;Taperacu;72519.0;124.0;29.0;0.97;0.236;2.151;0.14417;0.163;Senectude;59254.0;3212.0;321.0;0.0;2018;Outros;19.39
11.0;Quatipuru;95041.0;1147.0;65.0;0.785;1.207;1.845;0.22366;0.321;Senectude;73531.0;16950.0;1648.0;0.715;2018;Outros;7.59
17.0;Marapanim;204434.0;1785.0;125.0;0.378;0.872;1.948;0.13026;0.429;Maturidade;170450.0;27065.0;1668.0;0.895;2018;Outros;3.0
34.0;Maracana;298068.0;3221.0;138.0;0.334;1.08;1.944;0.15761;0.427;Maturidade;226999.0;59727.0;4003.0;1.072;2018;Outros;2.86
58.0;Caete;219874.0;2514.0;142.0;0.487;1.143;2.393;0.10929;0.436;Maturidade;161485.0;47077.0;6622.0;14.311;2018;Outros;2.04
4685.0;Caripi;84151.0;868.0;70.0;0.804;1.03;2.473;0.17297;0.364;Maturidade;63241.0;14229.0;669.0;0.268;2018;Outros;7.7
589798.0;Apeu;91609.0;1054.0;46.0;1.073;1.149;1.963;0.43616;0.438;Maturidade;72807.0;15529.0;1381.0;0.538;2018;Outros;4.3
589909.0;Guama;213705.0;15163.0;515.0;0.23;1.032;2.824;0.05549;0.268;Senectude;129766.0;63916.0;16204.0;202.347;2018;Outros;1.46
1.0;Morcego;113353.0;202.0;22.0;1.791;0.175;1.936;0.26308;0.252;Senectude;83203.0;17220.0;1102.0;0.0;2024;Outros;11.64
5.0;Piria;179142.0;6217.0;308.0;0.47;1.152;2.615;0.06119;0.276;Senectude;126014.0;42380.0;8531.0;124.929;2024;Outros;1.69
6.0;Urumajo;177831.0;422.0;63.0;1.182;0.151;2.087;0.10536;0.272;Senectude;137046.0;23288.0;1838.0;4.739;2024;Outros;5.96
10.0;Taperacu;72519.0;124.0;29.0;0.97;0.236;2.151;0.14417;0.163;Senectude;59254.0;3212.0;321.0;0.0;2024;Outros;10.72
11.0;Quatipuru;95041.0;1147.0;65.0;0.785;1.207;1.845;0.22366;0.321;Senectude;73531.0;16950.0;1648.0;0.715;2024;Outros;4.54
17.0;Marapanim;204434.0;1785.0;125.0;0.378;0.872;1.948;0.13026;0.429;Maturidade;170450.0;27065.0;1668.0;0.895;2024;Outros;2.62
34.0;Maracana;298068.0;3221.0;138.0;0.334;1.08;1.944;0.15761;0.427;Maturidade;226999.0;59727.0;4003.0;1.072;2024;Outros;2.67
58.0;Caete;219874.0;2514.0;142.0;0.487;1.143;2.393;0.10929;0.436;Maturidade;161485.0;47077.0;6622.0;14.311;2024;Outros;2.22
4685.0;Caripi;84151.0;868.0;70.0;0.804;1.03;2.473;0.17297;0.364;Maturidade;63241.0;14229.0;669.0;0.268;2024;Outros;5.89
